IdentifiedObject.name,IdentifiedObject.mRID,WireInfo.radius,WireInfo.gmr,WireInfo.rDC20,WireInfo.rAC25,WireInfo.rAC50,WireInfo.rAC75,WireInfo.ratedCurrent,WireInfo.material,WireInfo.insulated,WireInfo.insulationMaterial,WireInfo.insulationThickness,WireInfo.coreRadius,WireInfo.strandCount,WireInfo.coreStrandCount
4AWAC,_9be9a75e-ab44-b1db-da7c-54ebd915b440,0.0031115,0.002053742,0.001345269,0.001378201,0.001525466,0.001675838,140,acsr,FALSE,other,0,0,0,0
4BIRON,_821f42d2-214e-9fd4-9fdb-3220fae13752,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
4CU,_f2666ac5-e061-ab26-06c9-a5091105e428,0.0025908,0.002020824,0.000858735,0.000866813,0.000960018,0.000960018,170,acsr,FALSE,other,0,0,0,0
4CW,_6593dbe8-f2ef-6a25-e856-9cf06515be7c,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
4STCU,_f0ed96c5-bb78-67a7-acf6-77612a4166ac,0.0025908,0.001374648,0.000860599,0.000882347,0.001000408,0.001000408,180,acsr,FALSE,other,0,0,0,0
4TX,_ef9e014b-3c4f-2a53-19d1-7073147ab052,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
500,_1231e6ce-2e1c-23c9-2f3a-2f028ad5c89b,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
500AL,_c34ecfb4-1d99-221a-70b3-593d2d71312d,0.0102997,0.00780288,0.000113517,0.000116798,0.000127953,0.000139764,660,acsr,FALSE,other,0,0,0,0
500CU,_e6fb191a-781a-088d-d7d6-122ea965941e,0.4055,0.0256,0,0,0,0.1303,840,acsr,FALSE,other,0,0,0,0
556,_ef21b911-0f08-3677-089c-757404650e40,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
556AAC,_34c06106-b9a7-4200-db79-0fe586197d6d,0.0108712,0.0082296,0.000102034,0.000104987,0.000115486,0.01167384,700,acsr,FALSE,other,0,0,0,0
556ACSR,_ec0ce199-30ec-1290-6f6d-1c662ce247bc,0.0117729,0.00954024,0.000100066,0.000103018,0.000113189,0.000123031,730,acsr,FALSE,other,0,0,0,0
556AL,_f19df1b0-b9fc-8a06-8e90-460418d29c37,0.0108712,0.0082296,0.000102034,0.000104987,0.000115486,0.01167384,700,acsr,FALSE,other,0,0,0,0
6,_1c097916-885a-af0f-6fb5-e6087eb1b2dc,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
600CU,_fc65e018-8566-ff3d-d1d6-e41010aeb04c,0.4455,0.0285,0,0,0,0.1095,940,acsr,FALSE,other,0,0,0,0
600KCM,_27cf0a28-f7b9-f4c2-12c7-765d4acc5f51,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
66STEL,_be607dff-2423-d412-1d5e-836dc336db44,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
6A,_d5bfb1d0-d40d-7601-f497-a2915a6e579b,0.00233684,0.00014097,0.002162074,0.002208005,0.002424541,0.002644357,105,acsr,FALSE,other,0,0,0,0
6AL,_7ea1212b-2d82-8ce9-ee66-b00f2c942dbc,0.00233684,0.00014097,0.002162074,0.002208005,0.002424541,0.002644357,105,acsr,FALSE,other,0,0,0,0
6AMER,_106f9f63-27bb-4bfb-8fde-ca94906a916c,0.00233684,0.00014097,0.002162074,0.002208005,0.002424541,0.002644357,105,acsr,FALSE,other,0,0,0,0
6CR,_7f2ad167-23b9-dc90-f86c-c77efef9c2b2,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
6CU,_18b436af-a2a2-cc1a-6915-f85b35e8bdc2,0.0020574,0.001603248,0.00136702,0.00137323,0.001516146,0.001516146,140,acsr,FALSE,other,0,0,0,0
6CW,_163b7ff5-0405-a772-995a-b91de48acf23,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
6DX,_3186b4a6-5751-748d-5dfe-c782528023eb,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
6DXUG,_60d4363c-2632-7737-2dd2-c0d280488cd6,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
6IRON,_343c20cc-c4c1-06a4-e29e-a205913e6400,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
6STCU,_993d455a-de72-d87b-cdc6-c5fcfd34f808,0.0020574,0.001459992,0.00136702,0.00137323,0.001516146,0.001516146,130,acsr,FALSE,other,0,0,0,0
6STEL,_1ac37374-b136-ddee-d6a4-cef468d6deeb,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
6TXUG,_40c4bd3e-c6c4-c36e-7ed1-8d2db4a8b702,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
6WP,_0b94ef39-8958-6bae-9f97-c0a446cf905d,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
750,_d1fd37b1-9df7-c756-edf3-365fea7520f2,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
750AL,_51bfa672-b40b-dd67-a7bd-b4ea0b232aac,0.0126619,0.00972312,7.55E-05,8.23E-05,8.63E-05,9.38E-05,602,acsr,FALSE,other,0,0,0,0
750ALUG,_3df61d92-e54b-b711-15e6-148ba976028c,0.0126619,0.00972312,7.55E-05,8.23E-05,8.63E-05,9.38E-05,602,acsr,FALSE,other,0,0,0,0
750CN15,_3ef808a5-3130-9df9-3e11-8430f72c7f47,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
750CU,_3da294db-68be-8ff6-fa51-cf111fd93b98,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
795,_010f597c-0149-db90-0ed0-2a5070e20f01,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
795AAC,_fe2acfee-71cc-cc21-ec31-a56de507085a,0.0130302,0.00999744,7.12E-05,7.45E-05,8.14E-05,8.83E-05,880,acsr,FALSE,other,0,0,0,0
795ACSR,_8c45cec8-cc66-75cc-eb1b-66637213109a,0.0140716,0.01143,7.02E-05,7.28E-05,7.94E-05,8.63E-05,910,acsr,FALSE,other,0,0,0,0
7S8CU,_0eca3f2c-2ddf-a15f-44c7-02c89136e891,0.00183261,0.001426464,0.001721198,0.001727412,0.00190761,0.00190761,120,acsr,FALSE,other,0,0,0,0
8,_95f8f0c9-98fb-91ab-59f5-1fd0297e236d,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
8A,_3553f4ae-e382-8fb7-1bc3-69aaf4ae62ba,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
8AMER,_fb249c9c-7b2e-6a3c-304a-7cd05e227d08,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
8CU,_6d5add24-aa8d-2e76-ee11-fc36e1e5e5ec,0.00163195,0.001267968,0.002168585,0.002181013,0.002398493,0.002398493,110,acsr,FALSE,other,0,0,0,0
8CW,_f88e880e-13cd-b819-49a2-022bd59dd20f,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
8STCU,_a801a02b-c4d9-23b3-828f-da5659033f20,0.00163195,0.001267968,0.002168585,0.002181013,0.002398493,0.002398493,110,acsr,FALSE,other,0,0,0,0
91/2D,_819b5ed8-86fc-e421-1eed-c6b57ae707aa,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
AL,_80e792e8-4d30-efc3-15e6-9b9f3fed3669,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
TX,_c9369086-7cd9-59f6-3c6f-1c2ccfd99a49,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
UNK,_d2da0807-8030-c5f2-981f-ceb97af02108,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
UNKAL,_c8041c46-6a9f-a2d4-58be-7df565141eaa,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
UNKUNK,_c4f398eb-1dd0-ce17-fe49-b9bfccf88866,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
UnkCW,_c54c0111-25d8-16e0-e3c9-d339c91d3719,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
UnkUnk,_e55de77b-6a8f-e474-34f9-fe2860dd359e,0,0,0,0,0,0,0,acsr,FALSE,other,0,0,0,0
